ID;Nom usuel
29179001;Ploudaniel-inra
29190001;Plougonvelin
29216001;Quimper
29220002;Pont-l'abbe
29263002;St-segal S A
29264001;Landivisiau
29276001;Sibiril S A
29277001;Sizun
29278001;Spezet
30003001;Aigues-mortes
30009001;Alzon
30015002;Arphy
30068001;Cardet
30076001;Cavillargues
30081002;Chusclan
30087002;Colognac
30093003;Conqueyrac
30101001;Deaux
30117002;Fourques-inra
30123001;Gallargues Le Montueux
30129001;Generargues
30130001;Genolhac
30133001;Le Grau Du Roi
30154001;Mandagout
30164001;Mejannes-le-clap
30166001;Meynes
30175001;Montclus
30189001;Nimes-courbessac
30202002;Pont St Esprit
30209002;Pujaut
30224001;La Rouviere
30225002;Sabran
30243001;St Christol-les-ales
30258001;Nimes-garons
30269006;St Jean Du Gard
30273001;St Julien De Peyrolas
30283001;St Martial
30297001;St Sauveur Camprieu
30305001;Salindres
30325001;Sumene
30339001;Mont Aigoual
30339006;Valleraugue
30347001;Vestric-et-candiac
30349001;Vic Le Fesq
30350001;Le Vigan
30352002;Villevieille
31042001;Bagneres-de-luc
31042012;Luchon
31069001;Toulouse-blagnac
31147001;Clarac
31157001;Toulouse-francazal
31247001;Labarthe-rivier
31299001;Muret-lherm
31451001;Revel
31508001;St-paul-d'oueil
31540001;Segreville
31583001;Villematier
32013005;Auch
32035001;Beaucaire
32095001;Caussens
32110002;Courrensan
32119003;Eauze
32160001;Isle-jourdain
32208002;Lectoure
32219001;Lupiac
32245001;Maumusson - Man
32256001;Mirande
32290001;Montreal
32357001;Ste-anne
33029001;Le Barp
33042001;Belin-beliet
33049001;Beychac Et Cail
33063001;Bordeaux-paulin
33077002;Cabanac Et Vill
33095001;Captieux
33138001;Coutras
33145001;Cursan
33151001;Donnezac
33214002;Lacanau
33230002;Lapouyade
33240001;Lesparre Medoc
33242001;Les Leves Thoum
33281001;Bordeaux-merignac
33314003;Pauillac-sud
33314005;Pauillac
33394002;St Emilion
33415001;St Gervais
33445001;St-martin-du-bo
33473001;St-savin
33484002;St-symphorienj
33494001;Salaunes
33504001;Sauternes
33506001;Sauveterre-de-g
33522001;Talence
33528001;Le Temple
33529001;Cazaux
33540001;Vendays-montalive
33541001;Vensac David
33544001;Le Verdon-sur-m
33550001;Villenave D'ornon-inra
34008001;Les Aires
34028003;Bedarieux
34030002;Berlou
34032002;Beziers-courtade
34046005;Cambon-et-salvergues
34069001;Cazouls-les-beziers
34086001;Courniou
34135001;Lespignan
34141002;La Liviniere
34144001;Lunas
34150001;Marseillan-inra
34151005;Marsillargues
34154001;Montpellier-aeroport
34163001;Montarnaud
34174002;Moules-et-baucels
34178001;Murviel Les Beziers
34186001;Octon
34205001;Les Plans
34209002;Beziers-vias
34210001;Le Pouget
34217001;Prades Le Lez
34232001;Roquebrun
34249002;St Drezery
34274001;St Martin De Londres
34300001;Servian
34301002;Sete
34306001;Soumont
34311001;Pezenas-tourbes
34322003;Valflaunes-plaine
34330001;Verargues
34337001;Villeneuve-les-mag-inra
34339001;Villespassans
35049001;Cancale
35110003;Feins Sa
35115001;Fougeres
35162003;Louvigne-du-desert
35202001;La-noe-blanche
35228001;Dinard
35281001;Rennes-st Jacques
35299002;St-meloir
36018001;Le Blanc
36035001;Chaillac
36044001;Chateauroux
36063001;Chateauroux Deols
36070001;Eguzon
36085001;Guilly
36088004;Issoudun
36089003;Jeu-les-bois-auto
36093002;Levroux - Treg.
36107001;Lye
36127002;Montgivray
36136001;Murs
36146001;Orsennes
36162001;Poulaines
36173002;Rosnay
36208001;Ste-severe
36209001;St-valentin
36219001;Tendu_sapc
37003004;Amboise - Lycee
37023002;Beaumont_sapc
37055002;Channay/lathan
37067003;Cheille
37072002;Chinon - Viti
37087001;Courcoue
37107001;Ferriere-larcon
37109001;Fondettes
37113001;Le Grand-pres.
37122003;Joue-les-tours
37128002;Lignieres-de-t.
37129002;Ligre
37179001;Tours
37183001;Perrusson
37192001;Reignac
37213001;St-christ.-sica
37213003;St-christophe-sur-nais
37216002;St-epain
37224001;St-laurent-en-g
37242002;Savigny - Veron
37253001;Sublaines
38005001;Allemond
38021001;Autrans
38040001;Besse
38064001;Cessieu
38095001;Chatte_sapc
38130001;La Cote St Andre
38135002;Courtenay
38191002;Alpe-d'huez
38215002;Luzinay
38242001;Monestier
